phrasalVerb,example
happen to,Whatever happened to your friend George?
happen to,What’s happened to the newspaper that was on the table?
hark at,"Just hark at her, with her big fancy words!"
hark back to,That's the thing most people hark back to and none of us saw that happening.
hark back to,The style of dress harks back to the 1950s.
hark back to,They always hark back to what they call the ‘good old days’.
hark back to,Why do I hark back to the past?
harp on,Stop harping on about how ill you feel.
hash out,We hashed out some of the details of the plan.
haul in,Their new business venture managed to haul in over £4 million in its first year.
haul off,Most of the protesters were hauled off to the police station.
have against,"I don’t know what he’s got against me, but he’s always criticizing my work."
have against,I think it’s a brilliant idea. What have you got against it?
have against,"I’ve got nothing against intelligence tests, as long as they’re done properly."
have against,We’ve nothing against him personally: it’s just that we don’t trust politicians.
have got against,"I don’t know what he’s got against me, but he’s always criticizing my work."
have got against,I think it’s a brilliant idea. What have you got against it?
have got against,"I’ve got nothing against intelligence tests, as long as they’re done properly."
have got against,We’ve nothing against him personally: it’s just that we don’t trust politicians.
have in,Stay for lunch; we’ve got plenty of food in.
have in,They’ve got the builders in this week.
have in,We’ll have some more guide books in next week.
have in,We’re having a few people in for drinks on Saturday.
have in,"We’ve had the health and safety inspectors in, asking all sorts of questions."
have in for,The police stopped him again last night. He thinks they’ve got it in for him.
have on,Do you have anything on for tomorrow afternoon?
have on,He’s having you on: don’t take any notice of him.
have on,I can’t talk to him while he’s got the television on.
have on,I couldn’t see properly. I didn’t have my glasses on.
have on,Melissa had her new dress on.
have on,Of course he was cold – he’d got practically nothing on.
have on,"They haven’t got anything on Marlowe, so they can’t arrest him."
have on,We haven’t had the air conditioning on all summer.
have out,He decided to have it out with Rose there and then.
have over,We’re having the Simpsons over for supper on Tuesday evening.
